Model,CV Folds,Accuracy (%),Sensitivity,Specificity,Precision,AUC
Logistic Regression,5,85.81642512077295,0.8686021505376346,0.8342857142857143,0.9190268817204302,0.9242498719918075
Random Forest,5,86.72463768115942,0.9673118279569893,0.6571428571428571,0.8572405866523514,0.8940307219662058
Support Vector Machine,5,62.8695652173913,0.5490322580645162,0.7904761904761906,0.8545128205128204,0.7272667690732207
Naive Bayes,5,78.71497584541062,0.8034408602150538,0.7542857142857142,0.8701129812078087,0.8513169482846903
LightGBM,5,86.2608695652174,0.953978494623656,0.6704761904761904,0.8601409596096504,0.9080798771121351
AdaBoost,5,86.2608695652174,0.9019354838709678,0.779047619047619,0.8964474416017797,0.9168602150537634
XGBoost,5,86.27053140096618,0.9410752688172044,0.6961904761904762,0.869489486899354,0.9118771121351766
Logistic Regression,7,84.03679653679653,0.8426097711811996,0.8337662337662338,0.9153873407070338,0.9154410524540395
Random Forest,7,85.4301948051948,0.9737167594310451,0.6064935064935065,0.839253505115574,0.9155239781863159
Support Vector Machine,7,65.9767316017316,0.6008039579468151,0.7792207792207793,0.859920634920635,0.7393714510597628
Naive Bayes,7,76.94805194805194,0.7770562770562771,0.7558441558441559,0.8678309268371379,0.8512705908809804
LightGBM,7,85.79545454545453,0.9341372912801483,0.6974025974025976,0.8681653956809237,0.9129364142351155
AdaBoost,7,84.05032467532467,0.8750773036487322,0.7688311688311689,0.8875324675324674,0.9186175296564906
XGBoost,7,86.70183982683982,0.9409400123685838,0.7129870129870131,0.8728789326615413,0.9166666666666667
Logistic Regression,10,84.86166007905138,0.8625,0.825,0.914656862745098,0.9236309523809524
Random Forest,10,86.24505928853755,0.9737500000000001,0.625,0.8501496388028895,0.9014285714285715
Support Vector Machine,10,66.83794466403162,0.6025,0.8125,0.8812737262737261,0.7528571428571428
Naive Bayes,10,76.48221343873517,0.7766666666666666,0.7374999999999999,0.8602625152625153,0.8426785714285714
LightGBM,10,86.24505928853755,0.9333333333333333,0.7124999999999999,0.8741019828984224,0.9042261904761905
AdaBoost,10,82.74703557312253,0.8620833333333333,0.7535714285714286,0.878641456582633,0.9064880952380954
XGBoost,10,83.57707509881423,0.9141666666666668,0.6714285714285715,0.8554166666666667,0.9002976190476192
