Attribute 1,VIF 1,Attribute 2,VIF 2
White blood cell,67.27,Neutrophilic granulocytes,87.35
Hemoglobin,865.7,Hematocrit,1028.87
Eosinophil ratio,18.77,Eosinophil cells,18.09
Platelet,46.11,Plateletcrit,40.44
Red blood cell count,187.19,Hematocrit,1028.87
Total bilirubin,5.49,Indirect bilirubin,5.51
Total cholesterol,5.83,Low-density lipoprotein,5.05
Red blood cell count,187.19,Hemoglobin,865.7
Mean corpuscular volume,216.49,Mean corpuscular hemoglobin,227.93
Mean platelet volume,10.16,Large platelet ratio,5.31
Globulin,4.44,ALB/GLB,5.58
Neutrophile granulocyte ratio,28.96,Lymphocyte ratio,20.06
